week,win,lose,draw
1,Roei,Shitian,False
1,Roei,Willow,False
1,Roei,Matt,False
1,Shitian,Willow,False
1,Shitian,Matt,False
1,Willow,Matt,True
2,Willow,Roei,False
2,Willow,Shitian,False
2,Willow,Matt,False
2,Roei,Shitian,False
2,Roei,Matt,False
2,Shitian,Matt,False
3,Roei,Claude,False
3,Roei,Tom,False
3,Claude,Tom,False
3,Shitian,Willow,False
3,Shitian,Matt,False
3,Willow,Matt,False
4,Matt,Shitian,False
4,Matt,Roei,False
4,Matt,Claude,False
4,Shitian,Roei,False
4,Shitian,Claude,False
4,Roei,Claude,False
